,cost
74417154365539438,4.256922006607056
28759971764404954,6.836297988891602
10466724769439820,54.83320593833923
20056787023477519,45.652902126312256
115104759908005613,31.53752660751343
64133780157014584,13.178187847137451
160971987117537173,5.684513330459595
30537381878934033,233.2851732969284
26525064251448383,113.81590902805328
136598468157528704,7.590881943702698
25854900687589727,104.13444221019746
230815779065893918,5.793448805809021
159623229000579362,11.966671824455261
4876459398619965,197.64289128780365
21320467304308384,29.990218520164493
249575201260931903,9.615277528762816
133469538741729908,44.85214447975159
18321968699939123,3.512824058532715
26286866932884986,14.625959396362305
10771417248540729,9.947148442268372
29781957264303211,12.689876198768616
18128572812746170,4.380207300186157
37206451381390414,3.7906651496887207
27915224708756384,160.6494141817093
3998595355222938,129.76760399341583
10985994580617832,6.0274418592453
60827396679211467,14.96034371852875
10451819365195124,72.01185154914856
59168585309233937,10.22357976436615
100331815210533929,4.999104976654053
14914819499142170,351.33253049850464
5615076545915997,34.63990640640259
56780812839078763,430.0184690952301
12890785184390445,10.271791100502014
24161395732694480,67.61130499839783
54490037252265202,10.851627826690672
185408107141734766,64.58582413196564
11066533549996644,130.81324756145477
32566008509637430,128.87671327590942
35442884782826888,12.680437564849854
124245371217388237,32.38303184509277
12488818352665946,725.9497990608215
5740204790827782,126.66071367263794
28575500196238575,3.3483591079711914
164300694164752914,165.61993181705475
10687808780603921,3.6494789123535156
31601559459385009,115.69699573516846
158484491973204378,837.1988650560379
17908146740906904,63.559308648109436
2496832257572248,9.142033219337463
17882968666831371,33.51530945301056
4231307696917272,115.25170636177063
18976363741594941,5.274505138397217
22794870876753158,4.198324918746948
19723807199798384,7.431826233863831
69379870661401616,4.942994117736816
110160985450112161,90.24557638168335
35074049819854905,35.578571796417236
393282801106172301,43.15269577503204
14220405614979374,4.602626204490662
61566388466679561,65.03046894073486
61636710253376402,88.03222405910492
17938310511920627,195.25624060630798
23569656767324282,52.55640721321106
109219417352696692,72.08440971374512
17498250578583777,24.252158880233765
69861780323044820,238.29016160964966
13893224439944517,9.942015409469604
16865868251432975,10.636332511901855
100767354297266771,9.066127061843872
2301126577242484,9.118491649627686
35742668139265663,73.82669818401337
31246682523175679,142.8987259864807
18030222551635562,639.9965858459473
12303888494291068,267.1693869829178
20484834509020884,31.416622519493103
28706016263605017,83.34540247917175
62155014418477634,3.4002699851989746
29251458425747079,4.934509038925171
111672049410730848,3.1447768211364746
4902336145113741,43.635236740112305
39179115091214574,36.452221035957336
79328810623029365,6.730445027351379
85381825112735442,144.79141521453857
2305010686073317,94.7634756565094
27801859085856806,4.824120998382568
107264761874754850,6.5104368925094604
260597582911927473,4.8521071672439575
23349779942391013,2.453997611999512
349908747683025112,8.282205581665039
116434357850240339,115.12315917015074
78101105918770848,10.368363618850708
159633631190849266,4.9151647090911865
6134183473259567,4.0984591245651245
17984789724444314,421.84479856491095
27390144816558733,4.482711434364319
3397350195080770,97.3705974817276
11351485079518451,3.961606740951538
52119578526468310,60.06823122501373
122889923449993292,7.622357606887817
7508268857642585,13.791609644889832
8012960062302586,165.89100468158722
61382348161520004,309.555091381073
1821183924088954,82.74234306812286
299564071232560340,4.779757380485535
19193280078810372,176.27342867851257
137043468708846905,4.124141216278076
